Job_ID,Role,Salary,Location,Type,Status,Company_ID
84844,HR Generalist,6860600,"Dublin, Ireland",job_type.onsite_full_time,job_status.vacant,7912
12376,Mechanical Engineer,8325300,"Stockholm, Sweden",job_type.remote_full_time,job_status.vacant,18347
90482,Technical Writer,8492200,"Bologna, Italy",job_type.onsite_part_time,job_status.vacant,73568
40696,Insurance Broker,1156100,"Omaha, USA",job_type.remote_full_time,job_status.vacant,27839
54084,Administrative Assistant,8327000,"Irving, USA",job_type.onsite_part_time,job_status.vacant,13005
1064,Software Engineer,6594600,"Tokyo, Japan",job_type.onsite_part_time,job_status.vacant,65906
41477,Public Relations Manager,4017500,"Oslo, Norway",job_type.onsite_part_time,job_status.vacant,3291
97522,Product Marketing Manager,7841700,"Wichita, USA",job_type.remote_part_time,job_status.vacant,97781
39243,Product Marketing Manager,4819300,"Charlotte, USA",job_type.onsite_part_time,job_status.vacant,16365
2885,Event Manager,8916600,"Madrid, Spain",job_type.remote_full_time,job_status.vacant,26542
39885,Physical Therapist,4030900,"Los Angeles, USA",job_type.remote_full_time,job_status.vacant,17641
46602,Technical Writer,7937300,"Helsinki, Finland",job_type.remote_full_time,job_status.vacant,86964
50797,Cybersecurity Engineer,6585700,"Toronto, Canada",job_type.remote_full_time,job_status.vacant,75068
70994,Business Systems Analyst,7014100,"Toledo, USA",job_type.remote_part_time,job_status.vacant,47377
94791,Operations Manager,3024600,"St. Petersburg, USA",job_type.remote_full_time,job_status.vacant,96236
28620,Supply Chain Analyst,7607600,"Cleveland, USA",job_type.remote_full_time,job_status.vacant,58073
12999,Systems Administrator,9746100,"Colorado Springs, USA",job_type.remote_full_time,job_status.vacant,75068
53926,Sales Representative,7871700,"Singapore City, Singapore",job_type.onsite_part_time,job_status.vacant,90216
90965,Registered Nurse,5825100,"Stockholm, Sweden",job_type.onsite_part_time,job_status.vacant,27611
69909,Business Consultant,9779700,"Marseille, France",job_type.onsite_part_time,job_status.vacant,50497
84230,Event Planner,213100,"Greensboro, USA",job_type.onsite_part_time,job_status.vacant,13224
99322,Lawyer,5638800,"Oakland, USA",job_type.onsite_part_time,job_status.vacant,27839
73918,Medical Billing Specialist,6549400,"Kuala Lumpur, Malaysia",job_type.onsite_full_time,job_status.vacant,42492
94649,Business Development Coordinator,9287900,"Cleveland, USA",job_type.remote_part_time,job_status.vacant,51497
