Organization,Degree,Specialisation,Year
All India Institute of Medical Sciences (AIIMS),M.Tech,Comp Sci,2007
Indian Institute of Technology (Kanpur),BE,Civil,1999
Lady Shri Ram College for Women (LSR),B.Tech,Mechanical,1999
National Institute of Technology (Jaipur),M.Tech,Mechanical,2006
Indian Institute of Technology (Madras),B.A,English,1982
Indian Institute of Technology (Banaras Hindu University),BE,Electrical,1992
National Institute of Technology (Calicut),BE,Comp Sci,2019
Delhi Technological University (DTU),B.A,English,2016
Delhi Technological University (DTU),M.Tech,Civil,2005
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2010
National Institute of Technology (NITs),Ph.D,History,1998
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1992
Indian Institute of Technology (Guwahati),B.Tech,Mechanical,2008
Indian Institute of Management (Kolkata),BE,Manu,1983
Indian Institute of Technology (Bombay),M.Tech,Electrical,2007
National Law School of India University (NLSIU),B.A,Psychology,2018
National Institute of Technology (Trichy),B.A,Psychology,1995
Tata Institute of Social Sciences (TISS),BE,Civil,1981
Manipal Academy of Higher Education,B.Pharm,Medicine,2012
Indian Institute of Management (Kolkata),Ph.D,Civil,2010
National Law School of India University (NLSIU),BE,Electrical,2015
Christ University,B.A,Psychology,1990
Presidency University,BE,Comp Sci,2011
Indian Institute of Foreign Trade (IIFT),B.A,Sociology,2016
Miranda House,B.Pharm,Medicine,1999
National Institute of Technology (Jaipur),BE,Civil,2020
Indian Institutes of Technology (IITs),M.Tech,Mechanical,2010
Indian Statistical Institute (ISI),Ph.D,Sociology,1998
Indian School of Business (ISB),Ph.D,Manu,2007
National Law University (NLU),B.A,Psychology,1980
Miranda House,BE,Electrical,2016
Symbiosis International University,B.Pharm,Medicine,1993
Indian Institute of Technology (Madras),M.Tech,Civil,1995
National Institute of Technology (NITs),B.A,Psychology,2022
Indian Statistical Institute (ISI),B.A,Sociology,1987
Indian Institute of Management (Kozhikode),B.Tech,Electrical,1991
Indian Institute of Management (Lucknow),M.Tech,Comp Sci,1981
National Institute of Design (NID),Ph.D,Manu,1983
Indian Statistical Institute (ISI),Ph.D,Mechanical,1995
Indian Institutes of Technology (IITs),M.Tech,Comp Sci,1991
Indian Institute of Technology (Guwahati),Ph.D,Electrical,2006
Indian Institute of Foreign Trade (IIFT),BE,Comp Sci,1990
Indian Institute of Management (Indore),Ph.D,Sociology,1990
National Institute of Technology (Warangal),BE,Comp Sci,2007
Miranda House,Ph.D,Mechanical,2000
St. Stephen's College,M.Tech,Civil,2008
Indian Institute of Technology (Bombay),B.A,History,1999
Indian Institute of Science (IISc),M.Tech,Civil,2012
Indian Institute of Management (Lucknow),M.Tech,Electrical,2000
Aligarh Muslim University (AMU),B.Pharm,Medicine,1987
Manipal Academy of Higher Education,M.Tech,Comp Sci,2013
Indian Institute of Management (Kolkata),B.A,Sociology,1992
Indian Institute of Technology (Guwahati),B.Tech,Manu,1993
National Institute of Technology (Surathkal),M.Tech,Mechanical,1993
Indian School of Business (ISB),BE,Manu,2005
Lady Shri Ram College for Women (LSR),B.A,Sociology,2006
Indian Institute of Management (Kolkata),BE,Comp Sci,2004
Presidency University,BE,Mechanical,2012
Hansraj College,BE,Electrical,1983
National Institute of Fashion Technology (NIFT),B.A,History,2019
Indian Institute of Science (IISc),B.A,History,1980
St. Stephen's College,M.Tech,Electrical,2001
Indian Institute of Management (Kolkata),B.Tech,Comp Sci,1996
Xavier Labour Relations Institute (XLRI),B.A,History,1994
Indian Institute of Technology (Bombay),B.Pharm,Medicine,2010
Indian Statistical Institute (ISI),B.Pharm,Medicine,2011
Indian Institute of Technology (Madras),M.Tech,Mechanical,1996
National Institute of Technology (Surathkal),M.Tech,Mechanical,2002
Indian Statistical Institute (ISI),M.Tech,Electrical,1989
National Institute of Technology (Jaipur),B.Pharm,Medicine,1993
Lady Shri Ram College for Women (LSR),B.A,Psychology,1992
Indian Institute of Technology (Roorkee),BE,Electrical,2005
Aligarh Muslim University (AMU),B.Tech,Mechanical,2012
National Institute of Technology (Warangal),B.A,Psychology,1991
Indian Institute of Management (Kolkata),B.Pharm,Medicine,2021
Loyola College,BE,Civil,1984
National Institute of Technology (Surathkal),BE,Comp Sci,2010
Christ University,Ph.D,Psychology,2015
Delhi Technological University (DTU),B.Pharm,Medicine,2008
All India Institute of Medical Sciences (AIIMS),B.A,History,1983
National Institute of Technology (Warangal),B.Tech,Civil,1982
Jawaharlal Nehru University (JNU),M.Tech,Manu,1993
Manipal Academy of Higher Education,B.Tech,Manu,1987
National Law School of India University (NLSIU),BE,Mechanical,1999
National Institute of Design (NID),Ph.D,Manu,1986
Indian Institutes of Management (IIMs),B.A,English,2016
Birla Institute of Technology and Science (BITS Pilani),B.A,History,1985
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2015
Delhi Technological University (DTU),BE,Manu,1998
National Institute of Technology (Jaipur),B.A,English,1980
Indian Institute of Technology (Bombay),M.Tech,Electrical,2021
Indian Institutes of Management (IIMs),B.Tech,Manu,1991
Symbiosis International University,B.Tech,Comp Sci,2007
Indian Institute of Technology (Roorkee),B.A,Sociology,1997
Presidency University,B.Pharm,Medicine,2011
Miranda House,B.Pharm,Medicine,2004
Presidency University,M.Tech,Manu,2012
Presidency University,M.Tech,Mechanical,1981
Indian Institute of Management (Kolkata),B.Pharm,Medicine,1987
