JS_ID,Year,Proficiency,Domain
63777,2014,Marketing,Business
63777,2014,Web Development,Computer Science
63777,2014,Creative Writing,Literature
63777,2014,Graphic Design,Design
63777,1983,Marketing,Business
63777,1983,Graphic Design,Design
63777,1983,Creative Writing,Literature
63777,1983,Problem Solving,Mathematics
63777,1983,Project Management,Business
63777,1996,Marketing,Business
63777,1996,Web Development,Computer Science
63777,1996,Digital Marketing,Business
63777,1996,Project Management,Business
45689,1984,Graphic Design,Design
45689,1984,Public Speaking,Communication
45689,1984,Project Management,Business
45689,1984,Programming,Computer Science
45689,1984,Creative Writing,Literature
45689,1984,Programming,Computer Science
45689,1984,Graphic Design,Design
36607,2006,Web Development,Computer Science
36607,2006,Marketing,Business
36607,2006,Digital Marketing,Business
36607,2013,Data Analysis,Statistics
36607,1994,Problem Solving,Mathematics
36607,1994,Digital Marketing,Business
36607,1994,Project Management,Business
79145,2018,Digital Marketing,Business
37684,1986,Creative Writing,Literature
37684,1986,Graphic Design,Design
37684,1986,Data Analysis,Statistics
37684,1986,Programming,Computer Science
37684,1983,Programming,Computer Science
37684,2009,Project Management,Business
53694,1998,Problem Solving,Mathematics
53694,1998,Public Speaking,Communication
53694,1998,Programming,Computer Science
53694,1990,Data Analysis,Statistics
53694,1990,Digital Marketing,Business
85355,2005,Web Development,Computer Science
85355,2005,Data Analysis,Statistics
85355,2005,Project Management,Business
80012,2000,Digital Marketing,Business
80012,2007,Data Analysis,Statistics
80012,2007,Problem Solving,Mathematics
80012,2007,Web Development,Computer Science
80012,2007,Data Analysis,Statistics
80012,2017,Problem Solving,Mathematics
80012,2017,Digital Marketing,Business
80012,2022,Graphic Design,Design
80012,2022,Public Speaking,Communication
7533,2004,Creative Writing,Literature
7533,2004,Graphic Design,Design
7533,2004,Problem Solving,Mathematics
7533,2004,Programming,Computer Science
7533,2004,Project Management,Business
7533,2015,Creative Writing,Literature
7533,2015,Data Analysis,Statistics
7533,2015,Programming,Computer Science
7533,1985,Web Development,Computer Science
7533,1985,Problem Solving,Mathematics
7533,1985,Public Speaking,Communication
7533,1985,Project Management,Business
6616,1997,Problem Solving,Mathematics
6616,1997,Data Analysis,Statistics
6616,1997,Public Speaking,Communication
6616,1996,Creative Writing,Literature
6616,1996,Problem Solving,Mathematics
6616,1996,Graphic Design,Design
66125,1989,Web Development,Computer Science
66125,2007,Problem Solving,Mathematics
66125,2007,Public Speaking,Communication
