Job_ID,Proficiency,Domain,Years of experience
84844,Project Management,Business,0
84844,Project Management,Business,15
84844,Digital Marketing,Business,11
84844,Public Speaking,Communication,19
84844,Web Development,Computer Science,8
12376,Graphic Design,Design,13
12376,Graphic Design,Design,15
12376,Programming,Computer Science,4
12376,Graphic Design,Design,3
90482,Public Speaking,Communication,19
40696,Web Development,Computer Science,6
40696,Digital Marketing,Business,5
40696,Web Development,Computer Science,19
54084,Creative Writing,Literature,6
54084,Web Development,Computer Science,16
54084,Data Analysis,Statistics,8
54084,Data Analysis,Statistics,19
1064,Data Analysis,Statistics,14
1064,Marketing,Business,1
1064,Programming,Computer Science,15
1064,Digital Marketing,Business,2
1064,Public Speaking,Communication,6
41477,Digital Marketing,Business,10
41477,Project Management,Business,12
41477,Public Speaking,Communication,15
41477,Public Speaking,Communication,6
97522,Graphic Design,Design,0
97522,Creative Writing,Literature,8
97522,Creative Writing,Literature,13
97522,Problem Solving,Mathematics,6
97522,Problem Solving,Mathematics,1
39243,Project Management,Business,20
39243,Public Speaking,Communication,9
39243,Creative Writing,Literature,19
39243,Programming,Computer Science,8
2885,Public Speaking,Communication,12
2885,Marketing,Business,8
2885,Data Analysis,Statistics,12
2885,Graphic Design,Design,15
39885,Web Development,Computer Science,15
46602,Public Speaking,Communication,0
46602,Programming,Computer Science,20
46602,Creative Writing,Literature,19
50797,Programming,Computer Science,8
50797,Digital Marketing,Business,13
50797,Project Management,Business,8
70994,Web Development,Computer Science,9
70994,Public Speaking,Communication,15
70994,Creative Writing,Literature,7
70994,Public Speaking,Communication,9
70994,Public Speaking,Communication,6
94791,Creative Writing,Literature,1
94791,Web Development,Computer Science,6
94791,Marketing,Business,16
94791,Public Speaking,Communication,12
94791,Digital Marketing,Business,13
28620,Web Development,Computer Science,6
12999,Project Management,Business,0
53926,Problem Solving,Mathematics,18
53926,Programming,Computer Science,16
53926,Data Analysis,Statistics,11
53926,Public Speaking,Communication,8
53926,Data Analysis,Statistics,7
90965,Web Development,Computer Science,11
90965,Graphic Design,Design,4
90965,Public Speaking,Communication,14
90965,Programming,Computer Science,8
69909,Data Analysis,Statistics,20
69909,Marketing,Business,1
69909,Project Management,Business,14
84230,Graphic Design,Design,12
84230,Data Analysis,Statistics,11
84230,Marketing,Business,0
84230,Digital Marketing,Business,6
99322,Project Management,Business,14
73918,Marketing,Business,14
73918,Problem Solving,Mathematics,17
73918,Public Speaking,Communication,12
94649,Marketing,Business,15
94649,Digital Marketing,Business,18
94649,Programming,Computer Science,9
17253,Web Development,Computer Science,2
17253,Problem Solving,Mathematics,7
17253,Problem Solving,Mathematics,6
17253,Problem Solving,Mathematics,9
17253,Public Speaking,Communication,10
99710,Project Management,Business,9
99710,Graphic Design,Design,3
99710,Digital Marketing,Business,3
99710,Programming,Computer Science,15
11003,Marketing,Business,2
12361,Creative Writing,Literature,18
12361,Data Analysis,Statistics,7
12361,Data Analysis,Statistics,8
12361,Creative Writing,Literature,6
79668,Digital Marketing,Business,11
79668,Public Speaking,Communication,7
53643,Web Development,Computer Science,2
53643,Digital Marketing,Business,13
53643,Data Analysis,Statistics,17
53643,Public Speaking,Communication,4
53643,Data Analysis,Statistics,20
32818,Web Development,Computer Science,5
28680,Marketing,Business,17
28680,Public Speaking,Communication,12
28680,Public Speaking,Communication,4
28680,Digital Marketing,Business,4
28680,Data Analysis,Statistics,9
57372,Web Development,Computer Science,9
57372,Creative Writing,Literature,4
57372,Graphic Design,Design,11
57372,Data Analysis,Statistics,17
57372,Marketing,Business,20
695,Marketing,Business,6
695,Project Management,Business,19
695,Marketing,Business,19
695,Project Management,Business,15
6420,Public Speaking,Communication,13
25155,Data Analysis,Statistics,19
25155,Web Development,Computer Science,10
37605,Creative Writing,Literature,4
74649,Creative Writing,Literature,2
74649,Programming,Computer Science,11
74649,Graphic Design,Design,3
96311,Programming,Computer Science,10
96311,Project Management,Business,12
96311,Project Management,Business,16
96311,Graphic Design,Design,17
29838,Public Speaking,Communication,3
29838,Public Speaking,Communication,1
29838,Web Development,Computer Science,3
37711,Marketing,Business,17
37711,Data Analysis,Statistics,2
37711,Public Speaking,Communication,10
43561,Problem Solving,Mathematics,0
65887,Data Analysis,Statistics,1
65887,Data Analysis,Statistics,6
65887,Project Management,Business,4
65887,Programming,Computer Science,8
15989,Digital Marketing,Business,9
15989,Digital Marketing,Business,6
15989,Project Management,Business,19
15989,Programming,Computer Science,6
15989,Programming,Computer Science,20
91845,Creative Writing,Literature,2
91845,Digital Marketing,Business,16
91845,Marketing,Business,2
91845,Programming,Computer Science,17
63867,Marketing,Business,1
63867,Marketing,Business,20
63867,Problem Solving,Mathematics,1
