JS_ID,Com_ID,WE_Role,Proficiency,Domain
36965,85039,Administrative Assistant,Graphic Design,Design
36965,85039,Administrative Assistant,Data Analysis,Statistics
36965,85039,Administrative Assistant,Programming,Computer Science
63777,85932,Lawyer,Creative Writing,Literature
63777,85932,Lawyer,Marketing,Business
63777,85932,Lawyer,Graphic Design,Design
63777,61508,Civil Engineer,Project Management,Business
63777,61508,Civil Engineer,Data Analysis,Statistics
63777,86812,Public Relations Coordinator,Marketing,Business
63777,86812,Public Relations Coordinator,Graphic Design,Design
63777,86812,Public Relations Coordinator,Problem Solving,Mathematics
63777,86812,Public Relations Coordinator,Creative Writing,Literature
63777,24444,Customer Support Specialist,Problem Solving,Mathematics
63777,24444,Customer Support Specialist,Project Management,Business
63777,24444,Customer Support Specialist,Graphic Design,Design
36607,92029,Retail Manager,Public Speaking,Communication
36607,92029,Retail Manager,Programming,Computer Science
36607,92029,Retail Manager,Graphic Design,Design
79145,53630,Business Development Manager,Marketing,Business
79145,53630,Business Development Manager,Graphic Design,Design
79145,41536,IT Support Specialist,Graphic Design,Design
79145,30442,IT Manager,Problem Solving,Mathematics
79145,30442,IT Manager,Digital Marketing,Business
79145,30442,IT Manager,Project Management,Business
79145,30442,IT Manager,Public Speaking,Communication
79145,23704,Software Engineer,Web Development,Computer Science
37684,33956,Insurance Claims Adjuster,Graphic Design,Design
37684,75639,Occupational Health and Safety Specialist,Web Development,Computer Science
37684,75639,Occupational Health and Safety Specialist,Project Management,Business
37684,3724,Product Marketing Manager,Problem Solving,Mathematics
37684,3724,Product Marketing Manager,Project Management,Business
7604,33344,Technical Writer,Marketing,Business
7604,33344,Technical Writer,Data Analysis,Statistics
7604,33344,Technical Writer,Project Management,Business
7604,33344,Technical Writer,Programming,Computer Science
7604,30849,Project Manager,Web Development,Computer Science
7604,30849,Project Manager,Programming,Computer Science
7604,95439,Brand Strategist,Data Analysis,Statistics
7604,33314,Graphic Designer,Web Development,Computer Science
7604,33314,Graphic Designer,Digital Marketing,Business
7604,33314,Graphic Designer,Project Management,Business
7604,33314,Graphic Designer,Graphic Design,Design
53694,26542,Administrative Assistant,Public Speaking,Communication
53694,26542,Administrative Assistant,Data Analysis,Statistics
85355,73536,Administrative Assistant,Project Management,Business
85355,73536,Administrative Assistant,Public Speaking,Communication
85355,73536,Administrative Assistant,Programming,Computer Science
85355,36114,Digital Marketing Manager,Creative Writing,Literature
85355,36114,Digital Marketing Manager,Marketing,Business
85355,36114,Digital Marketing Manager,Digital Marketing,Business
85355,92703,Research Scientist,Problem Solving,Mathematics
85355,92703,Research Scientist,Web Development,Computer Science
85355,92703,Research Scientist,Public Speaking,Communication
85355,92703,Research Scientist,Data Analysis,Statistics
85355,86964,Account Manager,Web Development,Computer Science
85355,86964,Account Manager,Problem Solving,Mathematics
85355,86964,Account Manager,Programming,Computer Science
